index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,II Q 2000,IV Q 2000,II Q 2001,III Q 2001,II Q 1998,IV Q 1998,II Q 1999,IV Q 1999, Q 0000
Przychody z tytulu odsetek (tys. zl),935100,935000,961200,1010500,925900,887000,878000,928500,891400,903800,932600,962200,977900,925100,902800,895400,897000,945200,945200,963200,751486,772600,833600,882300,711589,726806,723058,747371,954184,841056,774812,732102,677188,730004,827175,886734,546182,581146,597076,625278,469105,474120,483023,499895,496733,459637,483717,455939,362900,364018,389084,381305,503002,452050,423582,387040,599705,614133,614967,571984,0,0,591455,572061,0,0,0,0,614967
Przychody z tytulu prowizji (tys. zl),286600,285600,294700,303100,280000,277000,291300,279800,289900,296800,305600,285800,292600,271300,283200,267000,290800,280700,285400,283800,288268,285900,295700,297700,275660,264082,277615,287157,268485,236101,275289,278008,253578,229671,250375,244746,234620,247280,258672,261650,160166,166492,185045,200804,159994,145326,145816,152768,176672,145604,151750,143572,159579,132928,147740,153450,142079,134159,139095,137021,0,0,115209,114746,0,0,0,0,139095
Wynik na dzialalnoÅci bankowej (tys. zl),943000,971100,1151200,1074800,858500,896500,979000,938800,824400,870000,892500,891200,757600,845400,801800,798100,733500,835000,778200,779200,692178,715000,732300,714800,593607,644520,662771,683074,272294,539273,666811,688592,466869,563368,619333,605004,464325,513175,503401,525107,393652,429726,417737,433217,446682,416051,424280,407184,408122,384612,428285,413279,387030,351593,378665,376595,449317,437151,439182,424247,0,0,332994,368746,0,0,0,0,439073
Zysk (strata) brutto (tys. zl),254100,337400,524900,433600,292400,326100,414800,395300,312300,328500,383900,342600,238500,324000,268000,288600,283900,317600,207300,252700,241001,267100,290000,276600,149740,219479,236240,237429,-151206,102914,228727,256962,123897,214274,294644,205351,153320,209382,203873,249837,182127,199040,204504,196467,172381,169661,156135,194285,66565,68606,105850,116229,-75054,-7760,6903,28526,-113821,94173,99243,74334,0,0,72448,82465,0,0,0,0,99243
Zysk (strata) netto (tys. zl),205700,259200,406900,332000,230800,261000,344600,315700,250500,254600,282300,273000,190000,259700,216900,234400,213600,271500,167600,203200,191680,212500,233900,220100,120802,177520,191530,192370,-128949,80821,182703,210726,97482,173683,233787,166892,102480,167413,167774,198055,131259,162355,169697,156823,147056,135662,122586,159955,-5658,53046,98778,89507,-30571,6279,3447,22789,-82383,66522,67149,51036,0,0,62602,68273,0,0,0,0,67149
Amortyzacja (tys. zl),57200,42200,45600,46100,59000,41800,43400,46800,44100,38000,38500,39600,44700,39900,40700,39300,36200,33700,34600,35100,32348,30500,31900,34000,31406,29155,29457,30040,32689,30975,31969,29559,49020,33346,33613,34149,35082,34599,36160,35020,32616,36640,32556,37347,40210,31427,31332,32894,49463,39146,39437,39277,43236,43068,43407,40908,34670,41775,45707,43330,0,0,41289,3244,0,0,0,0,125875
Aktywa (tys. zl),108893100,112732700,115639700,116550000,99860700,102568300,105318900,112180700,86750600,92244700,98261800,96848500,78266800,77753800,81790600,84639500,69723400,72263100,0,73637800,64517500,65839800,67500900,0,59883456,62099106,61582983,0,69610475,68205737,64516499,0,52010860,60234381,60513269,0,48476012,56616885,53203078,0,42126914,43398513,43119830,0,35473121,36906236,0,0,28917008,34985553,30737404,0,26941434,29187531,27552596,28370733,26465973,27811995,27572495,29310655,17037004,19317859,19903344,20170272,10998079,12581493,13465699,14834036,27572467
Kapital wlasny (tys. zl),10677900,10667700,10810100,10976700,10454000,10229500,9556100,10301800,8626300,8885600,9158700,9931600,8133800,8236500,8131200,8269200,6413700,6751100,0,7424900,5650800,5782000,5951500,0,4884398,5131712,5280138,0,4222130,4280894,4514725,0,3838783,4013726,3977626,0,3755694,3902218,3621892,0,3548638,3724941,3389608,0,3161150,3357990,0,0,2708812,3127707,2854669,0,2717237,2736764,2715677,2735464,2602782,2679261,2682749,2733141,1595638,1649017,1732098,1800371,1353714,1419506,1480617,1578823,2682749
Liczba akcji (tys. szt.),"130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","130100,000","13010,000"
Wartosc ksiegowa na akcje (zl),"82,075","81,996","83,091","84,371","80,354","78,628","73,452","79,184","66,305","68,298","70,397","76,338","62,520","63,309","62,500","63,560","49,298","51,892","0,000","57,071","43,434","44,443","45,746","0,000","37,543","39,444","40,585","0,000","32,453","32,905","34,702","0,000","29,506","30,851","30,574","0,000","28,868","29,994","27,839","0,000","27,276","28,631","26,054","0,000","24,298","25,811","0,000","0,000","20,821","24,041","21,942","0,000","20,886","21,036","20,874","21,026","20,006","20,594","20,621","21,008","12,265","12,675","13,314","13,838","10,405","10,911","11,381","12,135","5,161"
Zysk na akcje (zl),"1,581","1,992","3,128","2,552","1,774","2,006","2,649","2,427","1,925","1,957","2,170","2,098","1,460","1,996","1,667","1,802","1,642","2,087","1,288","1,562","1,473","1,633","1,798","1,692","0,929","1,364","1,472","1,479","-0,991","0,621","1,404","1,620","0,749","1,335","1,797","1,283","0,788","1,287","1,290","1,522","1,009","1,248","1,304","1,205","1,130","1,043","0,942","1,229","-0,043","0,408","0,759","0,688","-0,235","0,048","0,026","0,175","-0,633","0,511","0,516","0,392","0,000","0,000","0,481","0,525","0,000","0,000","0,000","0,000","206,207"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
