index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1999,I Q 2000,II Q 2000,III Q 2000, Q 0000,II Q 1998,IV Q 1998,II Q 1999
Przychody netto ze sprzedaÅ¼y (tys. zl),15828,16487,20770,15231,22312,21204,26940,12812,28587,17934,27173,19854,26319,22296,28851,25241,28069,30868,28991,26822,22757,18713,18659,19894,19955,22743,28105,26462,52497,26295,53885,35109,24932,43437,32139,42238,3308,2490,4789,6204,3325,2325,4638,3329,3201,2887,4182,3313,2936,3303,7488,9115,2672,3272,3565,7432,4818,6959,1609,6040,5171,6214,6855,7770,0,6320,9069,10397,6126,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),-3562,949,1340,1717,-258955,3399,5865,-4372,4790,1936,1971,1617,7042,3700,2448,7048,17220,3335,2196,1703,6051,5184,-4421,7238,-9650,8522,8992,6835,-1303,1917,4653,2347,1229,38,920,1536,-116,117,629,1644,-1886,101,493,42,-1038,-555,248,20,-3680,31,593,1722,-9976,-1734,-1409,4560,-5601,695,-6577,-732,3716,-156,1677,617,0,470,1833,3199,-1859,0,0,0
Zysk (strata) brutto (tys. zl),-5556,85,1044,1023,-260797,2266,5433,-5431,2474,1048,747,761,5311,2438,1268,5933,16116,1966,-254,200,5810,4809,-4974,6516,-10610,6120,8399,6363,-3757,1708,3612,9330,1269,253,639,1415,794,157,3347,2658,-1283,378,535,1508,-1210,-352,741,-1242,-4695,-13,297,1597,-10885,-2497,-2148,7478,-6705,-90,-7224,-1889,3474,-28,1261,-1130,0,709,2300,3434,-1612,0,0,0
Zysk (strata) netto (tys. zl),-4957,84,1146,859,-260559,2199,5070,-5497,1482,882,608,-374,4966,2219,957,4823,14378,1752,-684,83,4657,3673,-5588,5910,-11736,4137,7137,5052,-3670,1342,3410,8947,346,687,668,994,794,157,3751,2482,13007,377,534,1508,-1210,-421,811,-2392,-4664,22,338,1595,-10764,-2438,-2092,7508,-7086,-32,-7144,-1832,3562,12,1088,-782,0,395,2250,3110,-1612,0,0,0
Amortyzacja (tys. zl),5826,5001,3778,2035,5001,5555,5840,5920,4228,4704,4752,4635,4269,4190,4152,4030,3172,3824,4174,4090,2495,2900,2872,3007,240,2506,2569,2543,422,364,383,491,908,327,356,403,199,189,177,331,269,169,185,181,787,234,71,152,1053,418,895,791,1235,1305,1295,916,1072,1353,1331,2084,332,307,625,887,0,292,302,328,1,0,0,0
EBITDA (tys. zl),2264,5950,5118,3752,-253954,8954,11705,1548,9018,6640,6723,6252,11311,7890,6600,11078,20392,7159,6370,5793,8546,8084,-1549,10245,-9410,11028,11561,9378,-881,2281,5036,2838,2137,365,1276,1939,83,306,806,1975,-1617,270,678,223,-251,-321,319,172,-2627,449,1488,2513,-8741,-429,-114,5476,-4529,2048,-5246,1352,4048,151,2302,1504,0,762,2135,3527,-1858,0,0,0
Aktywa (tys. zl),264417,271485,268294,269692,277493,289819,296283,298014,516362,510906,522053,512047,492287,489672,495283,496796,0,505241,497920,494317,437570,437941,444278,0,175417,507098,469457,0,171728,163325,184143,172863,136945,150190,178429,0,28403,27518,32971,0,28341,27694,29154,0,19960,17302,21422,0,21012,20185,23456,24625,29846,29601,31242,25575,38172,51134,39670,42517,33598,36972,49350,43177,29018,31600,33117,33239,20770,34686,33169,26770
Kapital wlasny (tys. zl),102648,100256,104470,105330,133463,134707,137593,132094,381970,382852,383460,383088,373507,373948,377639,382424,0,371571,371061,371120,357382,362390,356672,0,110683,392532,380783,0,111000,113332,115438,124385,110671,111871,117583,0,23504,23661,27413,0,22256,22654,21076,0,1891,640,8136,0,-10781,1318,3590,4785,-13875,-15129,-15907,-7454,6203,11439,-1204,-3036,28852,28864,25045,17472,22261,22657,25063,25069,2603,24915,27907,20725
Liczba akcji (tys. szt.),"15964,750","15964,750","15964,750","15964,750","15964,760","15964,760","15964,760","15964,760","15964,760","15964,760","15964,760","15964,760","14519,660","15964,760","15964,760","15964,760","14519,660","14519,660","14519,660","14519,660","13581,160","13581,160","14519,660","14519,660","4945,861","4945,861","5440,447","5440,447","4945,861","4945,861","4945,861","4945,861","4599,195","4599,195","4945,861","4945,861","418,109","418,109","418,109","4599,195","418,109","418,109","418,109","418,109","302,913","302,913","418,109","418,109","302,913","302,913","302,913","302,913","302,913","302,913","302,913","302,913","302,913","302,913","302,913","302,913","302,913","302,913","302,913","302,913","302,913","302,913","302,913","302,913","3150,293","302,913","302,913","302,913"
Zysk na akcje (zl),"-0,310","0,005","0,072","0,054","-16,321","0,138","0,318","-0,344","0,093","0,055","0,038","-0,023","0,342","0,139","0,060","0,302","0,990","0,121","-0,047","0,006","0,343","0,270","-0,385","0,407","-2,373","0,836","1,312","0,929","-0,742","0,271","0,689","1,809","0,075","0,149","0,135","0,201","1,899","0,376","8,971","0,540","31,109","0,902","1,277","3,607","-3,995","-1,390","1,940","-5,721","-15,397","0,073","1,116","5,266","-35,535","-8,049","-6,906","24,786","-23,393","-0,106","-23,584","-6,048","11,759","0,040","3,592","-2,582","0,000","1,304","7,428","10,267","-0,512","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"6,430","6,280","6,544","6,598","8,360","8,438","8,619","8,274","23,926","23,981","24,019","23,996","25,724","23,423","23,655","23,954","0,000","25,591","25,556","25,560","26,315","26,683","24,565","0,000","22,379","79,366","69,991","0,000","22,443","22,915","23,340","25,149","24,063","24,324","23,774","0,000","56,215","56,591","65,564","0,000","53,230","54,182","50,408","0,000","6,243","2,113","19,459","0,000","-35,591","4,351","11,852","15,797","-45,805","-49,945","-52,513","-24,608","20,478","37,763","-3,975","-10,023","95,248","95,288","82,681","57,680","73,490","74,797","82,740","82,760","0,826","82,251","92,129","68,419"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
