index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),414589,367802,351250,237016,445978,398010,392092,358933,457546,420227,408450,382003,404987,380909,390064,393464,404096,379122,379945,353040,367186,344398,337696,335697,290390,288277,293028,296575,254013,228449,249312,242725,190036,200992,203781,210243,136452,143884,154033,162903,104907,104006,114154,122378,87045,80214,91024,97339,69953,56617,64247,83798,65186,57387,65327,68090,64152,57015,61754,62686,0,58163,61659,62485,0,0,0,0,90600,0
Zysk (strata) z dzialal. oper. (tys. zl),-123701,-680,-7302,-33161,16249,1020,-11618,-11331,19780,-4927,463,-12010,24746,4526,-470,-1283,17549,6075,3982,-2631,27311,4672,2524,-322,-23598,-530,72,-351,4132,-6141,-6624,-13128,14453,14797,908,8447,9321,3864,4110,4783,11752,3570,2468,4145,16922,1862,-248,891,3191,1799,2513,2368,3914,761,2265,2393,2609,1307,2785,2455,0,1452,1738,1914,0,0,0,0,16758,0
Zysk (strata) brutto (tys. zl),-125443,-2601,-8901,-46119,14161,-1148,-13478,-13166,17182,-7664,-1983,-14497,20304,1249,-3393,-1376,13569,2038,-36,-6711,23829,1191,-1138,-4330,-26694,-3773,-3346,-3895,-228,-9573,-9578,-16599,13467,13522,-842,5612,9349,3613,3657,18515,11714,3467,2208,3885,17363,1801,-298,854,2980,1345,2060,2409,1571,-110,2152,2268,975,297,1893,1094,0,-598,865,56,0,0,0,0,16862,0
Zysk (strata) netto (tys. zl),-116399,-1012,-11485,-52751,12435,-2563,-16637,-13862,13565,-9323,-1848,-14800,16030,636,-3710,-4756,9600,-1229,-305,-9517,21197,-540,604,-2655,-24947,-4507,-4191,-3310,-102,-9751,-8306,-16052,9757,9956,1322,5454,7492,2816,2872,16935,9450,2626,1821,3115,12406,1429,-325,733,2064,1021,-2135,2283,1420,-48,1777,1749,1102,281,1562,891,0,-757,697,142,0,0,0,0,13733,0
Amortyzacja (tys. zl),7721,4508,4373,4365,7991,7938,7986,7605,8168,8213,7928,7966,8168,8045,8051,8087,6723,8082,8014,7996,7899,7981,7982,8094,0,7861,7825,7738,5803,6186,0,0,2792,3334,3714,4144,1694,1847,2124,2356,65,1492,1521,4539,0,0,0,0,969,0,943,0,1213,1124,1068,1000,1271,1235,1204,1200,0,1175,1169,1350,0,0,0,0,2578,0
EBITDA (tys. zl),-115980,3828,-2929,-28796,24240,8958,-3632,-3726,27948,3286,8391,-4044,32914,12571,7581,6804,24272,14157,11996,5365,35210,12653,10506,7772,-23598,7331,7897,7387,9935,45,-6624,-13128,17245,18131,4622,12591,11015,5711,6234,7139,11817,5062,3989,8684,16922,1862,-248,891,4160,1799,3456,2368,5127,1885,3333,3393,3880,2542,3989,3655,0,2627,2907,3264,0,0,0,0,19336,0
Aktywa (tys. zl),646255,629365,597203,331295,788629,800907,728497,740983,800185,795963,763902,765840,755610,752528,765440,764871,757999,783562,754939,770252,776575,779454,741990,759855,723874,747910,741668,733489,615382,718525,740632,732458,356577,396825,467497,622358,194039,222880,252381,331458,159569,165902,160992,175047,140265,145558,133438,145150,107192,107920,111795,159546,100750,105063,106402,109906,102737,104560,103814,104738,99855,109074,106317,107136,116963,122092,120931,123090,139509,99011
Kapital wlasny (tys. zl),120749,121828,112366,39341,257285,260346,240323,236078,272943,262434,258736,244895,261647,260270,253804,257821,253238,253641,253057,242071,249605,251526,247586,238661,240274,241429,234771,232142,196999,281892,282596,268217,151319,161273,155798,220942,114748,122029,124595,139362,98913,102478,104259,107489,88143,89685,89262,89650,38934,40906,43021,75309,34043,33995,35121,36870,29889,30170,31732,32623,24124,28978,28645,28787,25486,22782,25669,26016,87588,25882
Liczba akcji (tys. szt.),"5560,990","5560,990","5560,990","5560,990","5560,990","5560,990","5560,990","5560,990","5560,990","5560,990","5560,990","5560,990","5560,990","5560,990","5560,990","5560,990","5560,990","5560,990","5560,990","5560,990","5428,990","5428,990","5560,990","5560,990","5428,990","5428,990","5428,990","5428,990","5428,990","5428,990","5428,990","5428,990","4243,587","4243,587","4316,990","4316,990","4216,990","4216,990","4216,990","4216,990","4216,990","4216,990","4216,990","4216,990","4216,990","4216,990","4216,990","4216,990","3216,990","3216,990","3216,990","4216,990","3216,990","3216,990","3216,990","3216,990","3216,990","3216,990","3216,990","3216,990","3216,990","3216,990","3216,990","3216,990","3216,990","3216,990","3216,990","3216,990","4216,990","3216,990"
Zysk na akcje (zl),"-20,931","-0,182","-2,065","-9,486","2,236","-0,461","-2,992","-2,493","2,439","-1,677","-0,332","-2,661","2,883","0,114","-0,667","-0,855","1,726","-0,221","-0,055","-1,711","3,904","-0,099","0,109","-0,477","-4,595","-0,830","-0,772","-0,610","-0,019","-1,796","-1,530","-2,957","2,299","2,346","0,306","1,263","1,777","0,668","0,681","4,016","2,241","0,623","0,432","0,739","2,942","0,339","-0,077","0,174","0,642","0,317","-0,664","0,541","0,441","-0,015","0,552","0,544","0,343","0,087","0,486","0,277","0,000","-0,235","0,217","0,044","0,000","0,000","0,000","0,000","3,257","0,000"
Wartosc ksiegowa na akcje (zl),"21,714","21,908","20,206","7,074","46,266","46,816","43,216","42,453","49,082","47,192","46,527","44,038","47,050","46,803","45,640","46,362","45,538","45,611","45,506","43,530","45,976","46,330","44,522","42,917","44,258","44,470","43,244","42,760","36,286","51,923","52,053","49,405","35,658","38,004","36,089","51,180","27,211","28,937","29,546","33,048","23,456","24,301","24,724","25,490","20,902","21,268","21,167","21,259","12,103","12,716","13,373","17,858","10,582","10,567","10,917","11,461","9,291","9,378","9,864","10,141","7,499","9,008","8,904","8,948","7,922","7,082","7,979","8,087","20,770","8,045"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
